product_id,product_name,brand,final_price,initial_price,discount,review_count,rating,category_name,root_category_name,available_for_delivery,available_for_pickup
855837951,Giani Bernini Womens Velma Faux Leather Memory Foam Mary Jane Heels,Giani Bernini,34.0,49.8,15.81,1,5,High Heels,Clothing,True,False
5172205930,"Exclusivo Mezcla Orthopedic Pet Bed for Small Dogs 20''X15'', Egg Crate Foam Small Dog Beds with Removable Washable Cover,Waterproof Pet Bed Mat, Navy Blue",Exclusivo Mezcla,20.0,59.99,40.0,115,4.5,Orthopedic Dog Beds,Pets,True,False
5464020385,Cuisinart Smokey Maple Bacon Seasoning,Cuisinart,3.97,23.263749999999998,6.07625,3,4.3,Seasoning mixes & blends,Food,False,True
1786660054,CPOKRTWSO Women's Plus Size Tops 3/4 Sleeve Shirts Dressy Casual V Neck Tunic Blouse (M-4XL),CPOKRTWSO,11.5,30.32,18.83,380,4.4,Womens Workwear Blouses,Clothing,True,False
538579916,SUN STONE Womens Brown Ring Hardware Non-Slip Breathable Square Toe Stacked Heel Zip-Up Leather Booties 6.5,Sunstone Metal Products,57.0,119.5,62.52,2,5,Womens Booties,Clothing,True,False
5187951341,IBTOM CASTLE Flowers Girls Tulle Lace Dress for Kids Wedding Bridesmaid Pageant Birthday Party Communion Formal Princess Prom Maxi Gown 3-4 Years Dark Blue,Ibtom Castle,33.0,40.99,8.0,24,4.5,Girls Dresses,Clothing,True,False
942432062,Men's Batman Joker Text Logo  Graphic Tee Royal Blue Heather 2X Large,Batman,16.0,18.99,3.0,1,5,Mens Graphic Tees,Clothing,True,False
5383710772,PatPat Toddler Girls One Piece Swimsuits Cute Tropical Swimwear Family Matching Bathing Suit Sizes 2-9,PatPat,9.99,58.48,48.49,37,4.4,Baby Girls Swimsuit Cover-ups,Clothing,True,False
5537013909,Happy Town Infant Girl Summer Outfits Baby Girl Ruffle Sleeve Tops Floral Shorts Set For 1-18M,Happy Town,11.0,19.99,9.0,2,5,Toddler Girls Outfit Sets,Clothing,True,False
338559263,Jessica London Women's Plus Size Stretch Denim Skirt Elastic Waist Long Jean Maxi Skirt,Jessica London,34.2,39.0,4.79,296,4.2,Womens Workwear Skirts,Clothing,True,False
3096395012,Amay 800 Thread Count 100% Organic Cotton Twin XL Size 1PC Flat Sheet ( 70x102 ) Aqua Blue Striped,Amay's,49.5,55.0,5.5,8,5,Colored Sheets,Home,True,False
391736091,"Hommow Outdoor Chaise Lounge Chair, Set of 2 Adjustable Patio Chaise Lounges for Beach Yard Pool,Blue",Hommow,120.0,159.99,40.0,54,3.5,Outdoor Chaise Lounges,Patio & Garden,True,False
1743897163,Comfort Canopy - 4 Piece Gray Chevron Printed Bed Sheets for California King Bedding,Comfort Canopy,38.0,109.99,72.0,28,4.9,Bed Sheets,Home,True,False
2531977069,"No Boundaries Womens Mid-Heel Slinky Slide Sandals, Sizes 6-11",No Boundaries,9.97,16.98,7.01,16,4.8,Womens Slides,Clothing,True,False
24190989,"Purina ONE High Protein, Healthy Weight Dry Cat Food, +Plus Ideal Weight With Turkey, 7 lb. Bag",Purina ONE,18.0,57.71888888888889,17.816666666666666,451,4.7,All Cat Food,Pets,False,False
1796059258,wendunide summer dress Women's Vintage 1920s Sequin Beaded Tassels Party Night Hem Flapper Gown Dress Black L,wendunide,34.0,43.79,9.8,1,5,Womens Dresses,Clothing,True,False
178455834,"American Soft Linen Luxury 6 Piece Bath Towel Set, 100% Cotton Turkish Towels for Bathroom, Light Grey",American Soft Linen,38.0,49.99,12.01,1455,4.7,Bath Towels,Home,True,False
5070152382,Pennysue Women's Cork Footbed Slide Sandals with Arch Support 2 Strap Adjustable Buckle Glitter Slip on Slipper Shoes Softey Flat Sandals 10M,Penny Sue,26.0,35.99,10.0,44,4.3,Womens Footbed Sandals,Clothing,True,False
842910182,"""Women Strapless Pleated Solid Colors Smocked Bandeau Sexy Tube Crop Tops (GOLDEN MUSTARD, Medium)""",TheLovely,11.0,16.99,5.95,1,5,Womens Workwear Blouses,Clothing,True,False
